accel,filter_accel,velocity,distance,pressure,temp,altitude,high
0.003692,0.006711,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.020668,0.006742,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.018274,0.006854,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.001586,0.007026,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.003985,0.007169,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.008881,0.007268,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.035064,0.007420,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.003910,0.007677,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.008577,0.007949,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.000801,0.008158,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.018503,0.008322,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.003867,0.008481,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.044650,0.008705,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.015080,0.009002,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.007941,0.009190,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.039820,0.009288,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.000910,0.009451,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.010647,0.009569,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.012637,0.009498,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.020227,0.009215,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.018293,0.008801,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.003000,0.008390,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.020910,0.008032,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.006421,0.007753,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.004090,0.007527,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.030200,0.007366,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.005758,0.007295,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.015791,0.007245,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.008848,0.007216,0.000000,0.000000,99377.550000,25.690000,169.058549,-0.042873
0.004088,0.007211,0.000000,0.000000,99377.550000,25.690000,169.058549,-0.042873
-0.000848,0.007177,0.000000,0.000000,99377.550000,25.690000,169.058549,-0.042873
0.006580,0.007101,0.000000,0.000000,99377.550000,25.690000,169.058549,-0.042873
-0.022312,0.006945,0.000000,0.000000,99377.550000,25.690000,169.058549,-0.042873
0.001683,0.006658,0.000000,0.000000,99377.550000,25.690000,169.058549,-0.042873
0.020739,0.006350,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.008064,0.006106,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.008679,0.005869,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.006347,0.005644,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.001014,0.005444,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.012700,0.005199,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.023063,0.004930,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.020459,0.004777,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.012975,0.004719,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.011090,0.004638,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.001332,0.004549,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.008741,0.004481,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.003293,0.004417,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.000825,0.004323,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.018356,0.004232,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.005440,0.004185,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.005505,0.004110,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.000694,0.003965,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.011217,0.003813,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.007944,0.003677,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.030372,0.003585,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.012674,0.003566,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.027057,0.003464,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.020783,0.003234,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.004145,0.003048,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.025480,0.002987,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.006306,0.003051,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.008819,0.003188,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.008531,0.003353,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.006220,0.003540,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
0.013262,0.003750,0.000000,0.000000,99377.490000,25.690000,169.063799,-0.037624
-0.017700,0.003932,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
-0.008220,0.003982,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
-0.010452,0.003882,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
-0.012861,0.003660,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.049301,0.003463,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
-0.003455,0.003454,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.004010,0.003523,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
-0.003249,0.003553,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.013619,0.003572,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.020880,0.003660,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.001635,0.003836,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.018583,0.004054,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.008875,0.004317,0.000000,0.000000,99377.410000,25.690000,169.070798,-0.030624
0.006483,0.004605,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
-0.020007,0.004816,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.006511,0.004890,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.022975,0.004946,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.003954,0.005080,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.013572,0.005254,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
-0.019984,0.005381,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.022956,0.005433,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.005983,0.005502,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
-0.001029,0.005589,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.001296,0.005625,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.018276,0.005650,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.006455,0.005722,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.025492,0.005865,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
-0.015058,0.006033,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
-0.003255,0.006104,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.004070,0.006066,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.027711,0.006053,0.000000,0.000000,99377.380000,25.690000,169.073423,-0.027999
0.054410,0.006253,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.008832,0.006711,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
-0.077143,0.007032,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
-0.000703,0.006900,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.018287,0.006579,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.025098,0.006381,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
-0.010930,0.006286,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.010222,0.006175,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.076988,0.006225,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.043215,0.006698,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
-0.020487,0.007383,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
-0.022134,0.007860,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.001183,0.008050,0.000000,0.000000,99377.110000,25.690000,169.097047,-0.004375
0.027715,0.008158,0.000000,0.000000,99377.070000,25.690000,169.100547,-0.000875
-0.027038,0.008244,0.000000,0.000000,99377.070000,25.690000,169.100547,-0.000875
-0.012491,0.008150,0.000000,0.000000,99377.070000,25.690000,169.100547,-0.000875
-0.022276,0.007816,0.000000,0.000000,99377.070000,25.690000,169.100547,-0.000875
-0.019866,0.007271,0.000000,0.000000,99377.070000,25.690000,169.100547,-0.000875
-0.017339,0.006543,0.000000,0.000000,99377.070000,25.690000,169.100547,-0.000875
-0.027129,0.005657,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
-0.000537,0.004665,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
0.015881,0.003732,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
0.030287,0.003032,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
0.023164,0.002631,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
0.044584,0.002544,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
-0.005776,0.002696,0.000000,0.000000,99377.120000,25.690000,169.096172,-0.005250
-0.011315,0.002853,0.000000,0.000000,99377.220000,25.690000,169.087423,-0.014000
-0.007910,0.002877,0.000000,0.000000,99377.220000,25.690000,169.087423,-0.014000
0.001216,0.002810,0.000000,0.000000,99377.220000,25.690000,169.087423,-0.014000
0.003209,0.002720,0.000000,0.000000,99377.220000,25.690000,169.087423,-0.014000
