Keuwl Accelerometer Data File
2025-03-31 16:44:57

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
3.7532203,-0.110668,9.868001,-0.146560,9.869709,90.850845,90.642532
3.7740719,-0.111266,9.851849,-0.140578,9.853479,90.817459,90.647064
3.7949247,-0.116650,9.875777,-0.217149,9.878854,91.259529,90.676735
3.8157787,-0.124427,9.836894,-0.122632,9.838445,90.714188,90.724693
3.8366313,-0.142971,9.847662,-0.134596,9.849620,90.782982,90.831779
3.8574853,-0.123829,9.833304,-0.104686,9.834641,90.609901,90.721474
3.8783367,-0.153141,9.832706,-0.169292,9.835356,90.986259,90.892288
3.8991878,-0.121436,9.842875,-0.209372,9.845851,91.218483,90.706848
3.9200387,-0.139980,9.821341,-0.021535,9.822362,90.125618,90.816559
3.9408903,-0.113061,9.845269,-0.260219,9.849357,91.513931,90.657944
3.9617410,-0.121436,9.848858,-0.015553,9.849619,90.090477,90.706421
3.9825921,-0.115454,9.871590,-0.204586,9.874384,91.187187,90.670074
4.0034432,-0.136391,9.859028,-0.084347,9.860332,90.490128,90.792587
4.0242934,-0.100499,9.854242,-0.125623,9.855556,90.730339,90.584312
4.0451446,-0.111864,9.857233,-0.090329,9.858281,90.524994,90.650192
4.0659966,-0.111266,9.862019,-0.157328,9.863901,90.913902,90.646400
4.0868483,-0.123829,9.860224,-0.123230,9.861772,90.715973,90.719505
4.1077013,-0.119043,9.845867,-0.141775,9.847608,90.824905,90.692711
4.1285534,-0.135194,9.832706,-0.083151,9.833987,90.484467,90.787735
4.1494045,-0.129811,9.835099,-0.111266,9.836586,90.648117,90.756187
4.1702566,-0.142373,9.836894,-0.153739,9.839126,90.895294,90.829208
4.1911106,-0.117847,9.839287,-0.150748,9.841147,90.877701,90.686203
4.2119613,-0.117847,9.830314,-0.144766,9.832086,90.843643,90.686836
4.2328110,-0.119641,9.833304,-0.094516,9.834487,90.550659,90.697083
4.2536602,-0.124427,9.842875,-0.150150,9.844807,90.873886,90.724258
4.2745137,-0.129811,9.851849,-0.145364,9.853776,90.845261,90.754898
4.2953639,-0.119043,9.857233,-0.188435,9.859753,91.095078,90.691910
4.3162155,-0.110070,9.871590,-0.111864,9.872837,90.649208,90.638832
4.3370686,-0.113659,9.854242,-0.114257,9.855560,90.664253,90.660820
4.3579216,-0.131605,9.870992,-0.168694,9.873310,90.978996,90.763855
4.3787737,-0.127418,9.865608,-0.169292,9.867884,90.983009,90.739952
4.3996272,-0.132203,9.857831,-0.184846,9.860450,91.074142,90.768349
4.4204803,-0.139382,9.839287,-0.142971,9.841312,90.832405,90.811592
4.4413342,-0.139382,9.837492,-0.129212,9.839328,90.752441,90.811737
4.4621868,-0.123230,9.824930,-0.159123,9.826991,90.927795,90.718605
4.4830427,-0.124427,9.830912,-0.166899,9.833116,90.972542,90.725136
4.5038991,-0.125025,9.841082,-0.180658,9.843534,91.051605,90.727867
4.5247526,-0.116650,9.842278,-0.095115,9.843429,90.553642,90.679031
4.5456076,-0.120239,9.844670,-0.132203,9.846292,90.769318,90.699753
4.5664611,-0.107677,9.851251,-0.108873,9.852441,90.633156,90.626236
4.5873156,-0.129811,9.847662,-0.189033,9.850332,91.099602,90.755219
4.6081672,-0.129811,9.855438,-0.145364,9.857366,90.844955,90.754623
4.6290212,-0.116650,9.853045,-0.146560,9.854826,90.852127,90.678291
4.6498728,-0.137587,9.844670,-0.121436,9.846380,90.706650,90.800705
4.6707249,-0.116052,9.850055,-0.172283,9.852244,91.001968,90.675018
4.6915784,-0.135194,9.856635,-0.167498,9.858985,90.973465,90.785828
4.7124310,-0.137587,9.850055,-0.150150,9.852160,90.873238,90.800262
4.7332830,-0.125025,9.841082,-0.108873,9.842478,90.633797,90.727867
4.7541351,-0.138186,9.837492,-0.135793,9.839399,90.790756,90.804771
4.7749844,-0.147757,9.838689,-0.241077,9.842752,91.403473,90.860397
4.7958374,-0.123230,9.830314,-0.196211,9.833044,91.143372,90.718208
4.8166904,-0.105882,9.834501,-0.151346,9.836235,90.881622,90.616844
4.8375444,-0.118445,9.823733,-0.092124,9.824880,90.537247,90.690781
4.8583994,-0.120838,9.835099,-0.111864,9.836477,90.651604,90.703918
4.8792539,-0.157926,9.837492,-0.166899,9.840175,90.971840,90.919716
4.9001093,-0.133998,9.841680,-0.204586,9.844718,91.190765,90.780052
4.9209628,-0.128016,9.860224,-0.151346,9.862216,90.879295,90.743835
4.9418163,-0.137587,9.862617,-0.147159,9.864674,90.854752,90.799248
4.9626689,-0.122034,9.857233,-0.170489,9.859463,90.990799,90.709297
4.9835234,-0.120838,9.858429,-0.168694,9.860613,90.980255,90.702255
5.0043774,-0.138186,9.866206,-0.169292,9.868627,90.982933,90.802429
5.0252347,-0.131605,9.868599,-0.157926,9.870740,90.916740,90.764038
5.0460954,-0.123230,9.859626,-0.151944,9.861567,90.882835,90.716072
5.0669546,-0.119641,9.857233,-0.189033,9.859772,91.098549,90.695389
5.0878091,-0.131007,9.838090,-0.172881,9.840481,91.006645,90.762924
5.1086640,-0.131605,9.832108,-0.154935,9.834209,90.902718,90.766876
5.1295190,-0.132802,9.827921,-0.147159,9.829920,90.857780,90.774170
5.1503739,-0.123829,9.832706,-0.142373,9.834517,90.829491,90.721519
5.1712275,-0.125623,9.837492,-0.174078,9.839833,91.013680,90.731621
5.1920800,-0.130409,9.841082,-0.166899,9.843361,90.971527,90.759209
5.2129331,-0.110070,9.866206,-0.161516,9.868142,90.937820,90.639183
5.2337866,-0.124427,9.862617,-0.138784,9.864378,90.806129,90.722809
5.2546415,-0.123230,9.890733,-0.145962,9.892577,90.845413,90.713821
5.2754951,-0.092124,9.908679,-0.186042,9.910853,91.075592,90.532677
5.2963486,-0.160917,9.913465,-0.157926,9.916028,90.912552,90.929955
5.3172035,-0.139382,9.936794,-0.166301,9.939163,90.958710,90.803627
5.3380580,-0.117847,9.937990,-0.153141,9.939869,90.882774,90.679390
5.3589115,-0.129212,9.963714,-0.145364,9.965611,90.835777,90.742989
5.3797665,-0.136391,9.972687,-0.183649,9.975310,91.054893,90.783554
5.4006224,-0.133998,9.981660,-0.171087,9.984025,90.981873,90.769119
5.4214783,-0.140578,9.979267,-0.160319,9.981544,90.920296,90.807076
5.4423313,-0.129212,9.991829,-0.139980,9.993645,90.802567,90.740898
5.4631858,-0.120239,10.006186,-0.164507,10.008261,90.941818,90.688461
5.4840384,-0.135194,10.010972,-0.175274,10.013419,91.002953,90.773712
5.5048943,-0.125025,10.016356,-0.179462,10.018744,91.026375,90.715134
5.5257492,-0.123829,10.016356,-0.154337,10.018310,90.882706,90.708290
5.5466027,-0.132802,10.027721,-0.141775,10.029603,90.809937,90.758751
5.5674558,-0.128614,10.034302,-0.189033,10.036906,91.079163,90.734344
5.5883074,-0.126221,10.036097,-0.175872,10.038431,91.003868,90.720558
5.6091599,-0.125623,10.046266,-0.204586,10.049133,91.166542,90.716415
5.6300149,-0.119641,10.043873,-0.153739,10.045762,90.876877,90.682465
