Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),ag,,9.849606
35.7006302,-0.117847,9.363713,-0.079561,9.364793,90.486778,90.721054,-0.484813,,
35.7030792,-0.091525,9.327821,-0.096311,9.328767,90.591537,90.562172,-0.520839,,
35.7055321,-0.10349,9.368499,-0.113061,9.369752,90.691383,90.632896,-0.479854,,
35.7079849,-0.074776,9.323035,-0.125025,9.324173,90.768288,90.459534,-0.525433,,
35.710434,-0.132203,9.320642,-0.108275,9.322209,90.665489,90.812622,-0.527397,,
35.7128868,-0.060419,9.354142,-0.091525,9.354785,90.560577,90.370071,-0.494821,,
35.7153397,-0.10349,9.311071,-0.10349,9.312222,90.636757,90.636795,-0.537384,,
35.7177925,-0.067597,9.351749,-0.120239,9.352767,90.736618,90.414146,-0.496839,,
35.7202454,-0.036491,9.334999,-0.125025,9.335908,90.767319,90.223969,-0.513698,,
35.7226982,-0.048455,9.339785,-0.115454,9.340624,90.708214,90.297249,-0.508982,,
35.7251472,-0.050847,9.34457,-0.101097,9.345256,90.619835,90.311768,-0.50435,,
35.7276001,-0.026919,9.392427,-0.132203,9.393396,90.806412,90.164215,-0.45621,,
35.7300529,-0.041276,9.351749,-0.06999,9.352102,90.428802,90.252884,-0.497504,,
35.7325058,-0.062812,9.330214,-0.108275,9.331054,90.664864,90.385712,-0.518552,,
