Keuwl Accelerometer Data File
2025-03-31 16:46:37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3630521,-0.007777,9.854242,-0.132203,9.855132,90.768631,90.045219
0.3655055,-0.031705,9.832706,-0.113061,9.833407,90.658783,90.184746
0.3679590,-0.050847,9.847063,-0.113061,9.847843,90.657814,90.295860
0.3704118,-0.046062,9.859028,-0.120239,9.859869,90.698730,90.267685
0.3728648,-0.069990,9.856635,-0.110668,9.857505,90.643257,90.406837
0.3753184,-0.072383,9.856635,-0.113061,9.857549,90.657166,90.420746
0.3777720,-0.031705,9.875777,-0.072383,9.876094,90.419930,90.183937
0.3802252,-0.046062,9.823135,-0.067597,9.823476,90.394264,90.268661
0.3826792,-0.046062,9.861421,-0.117847,9.862232,90.684662,90.267624
0.3851330,-0.024526,9.847063,-0.125025,9.847887,90.727425,90.142708
0.3875862,-0.043669,9.854242,-0.146560,9.855429,90.852081,90.253906
0.3900393,-0.060419,9.856635,-0.132203,9.857706,90.768425,90.351204
0.3924926,-0.043669,9.866206,-0.160917,9.867615,90.934402,90.253593
0.3949458,-0.086740,9.866206,-0.115454,9.867263,90.670418,90.503708
0.3973993,-0.062812,9.885348,-0.129811,9.886400,90.752327,90.364052
0.3998527,-0.048455,9.866206,-0.158524,9.867599,90.920502,90.281387
0.4023060,-0.038883,9.863813,-0.163310,9.865242,90.948524,90.225861
0.4047592,-0.041276,9.866206,-0.125025,9.867085,90.726006,90.239700
0.4072122,-0.060419,9.847063,-0.103490,9.847793,90.602127,90.351547
0.4096644,-0.050847,9.861421,-0.125025,9.862345,90.726357,90.295425
0.4121169,-0.046062,9.856635,-0.129811,9.857597,90.754524,90.267754
0.4145693,-0.055633,9.870992,-0.158524,9.872421,90.920059,90.322914
0.4170225,-0.050847,9.839885,-0.160917,9.841331,90.936897,90.296074
0.4194755,-0.034098,9.868599,-0.177667,9.870256,91.031395,90.197968
0.4219289,-0.062812,9.861421,-0.151346,9.862782,90.879250,90.364937
0.4243821,-0.060419,9.861421,-0.156132,9.862842,90.907043,90.351036
0.4268346,-0.038883,9.859028,-0.156132,9.860341,90.907280,90.225967
0.4292876,-0.043669,9.861421,-0.134596,9.862436,90.781960,90.253723
0.4317407,-0.038883,9.851849,-0.108275,9.852520,90.629669,90.226135
0.4341934,-0.036491,9.854242,-0.120239,9.855043,90.699074,90.212166
0.4366465,-0.072383,9.878170,-0.113061,9.879082,90.655731,90.419830
0.4390999,-0.048455,9.868599,-0.081954,9.869058,90.475800,90.281319
0.4415531,-0.031705,9.863813,-0.065204,9.864079,90.378746,90.184166
